index,name,description,brand,category,mrp_price,currency,stock,ean,color,availability,internal_id,qty,selling_price,discount,discount_percentage,revenue,stock_value
736,Advanced Projector One Ultra,Sport security mother.,"Drake, Wright and Barber",Haircare,657.0,INR,770,3670910000000.0,MediumSeaGreen,in_stock,5,864,335.07,321.93,49.0,289500.48,258003.9
737,Compact Treadmill,Change final kitchen most play kid.,"Byrd, Middleton and Jensen",Skincare,947.0,INR,485,5826520000000.0,Gray,out_of_stock,55,184,634.49,312.51,33.0,116746.16,307727.65
738,Ultra Watch 360,Front morning catch national money behind son.,"Duran, Solis and Pruitt",Kitchen Appliances,599.0,INR,129,4507290000000.0,LemonChiffon,pre_order,33,696,461.23,137.77,23.0,321016.08,59498.67
739,Advanced Freezer Projector Webcam Eco,Mean put window all reduce.,Fletcher Inc,Sports & Outdoors,932.0,INR,475,8801320000000.0,Peru,limited_stock,68,635,764.24,167.76,18.0,485292.4,363014.0
740,Smart Radio Treadmill 360,Less difficult conference visit huge her.,Cochran Inc,Camping & Hiking,732.0,INR,967,5739760000000.0,MediumSeaGreen,in_stock,94,486,505.08,226.92,31.0,245468.88,488412.36
741,Portable Toaster Light Monitor,Person knowledge score prevent.,Potter-Ibarra,Health & Wellness,557.0,INR,657,4526520000000.0,ForestGreen,discontinued,38,601,412.18,144.82,26.0,247720.18,270802.26
742,Smart Lock Lamp Fast 360 Rechargeable,Old head skill leave east live suddenly stand.,Franco-Frazier,Cameras & Accessories,585.0,INR,652,5869040000000.0,DarkSlateBlue,out_of_stock,44,462,409.5,175.5,30.0,189189.0,266994.0
743,Lock,Hear run whether huge character join.,Gamble Inc,Camping & Hiking,513.0,INR,395,8445100000000.0,LimeGreen,backorder,74,151,374.49,138.51,27.0,56547.99,147923.55
744,Dock Trimmer,One staff follow act.,Church-Thomas,Books & Stationery,848.0,INR,215,9104750000000.0,DarkBlue,limited_stock,29,515,517.28,330.72,39.0,266399.2,111215.2
745,Webcam Projector Lock,Event response keep hold.,"Vaughn, Dalton and Flynn",Laptops & Computers,646.0,INR,791,362318000000.0,Green,discontinued,13,955,510.34,135.66,21.0,487374.7,403678.94
746,Compact Watch Mini Rechargeable Digital,Radio learn stage imagine two door.,"Walsh, Caldwell and Conrad",Automotive,495.0,INR,928,151123000000.0,MediumSlateBlue,limited_stock,46,517,381.15,113.85,23.0,197054.55,353707.2
747,Eco Scooter Edge,Deep close believe over really travel light whatever.,"Mora, Berry and Gray",Office Supplies,489.0,INR,548,9776340000000.0,Sienna,discontinued,32,696,268.95,220.05,45.0,187189.2,147384.6
748,Clean Scooter Microphone Edge Clean,Idea range radio.,Randolph-Jacobs,Furniture,916.0,INR,516,9610390000000.0,Gainsboro,in_stock,31,416,796.92,119.08,13.0,331518.72,411210.72
749,Clean Mouse Monitor Phone Fast Prime Rechargeable,Husband sit involve dark.,Porter and Sons,Sports & Outdoors,619.0,INR,258,5253150000000.0,ForestGreen,pre_order,75,401,458.06,160.94,26.0,183682.06,118179.48
750,Blender,You boy technology campaign knowledge quickly.,Booth Inc,Beauty & Personal Care,365.0,INR,641,2453320000000.0,Brown,out_of_stock,44,798,226.3,138.7,38.0,180587.4,145058.3
751,Pro Fan Mini,National no wish dinner official development hear.,Espinoza Inc,Shoes & Footwear,216.0,INR,122,2196160000000.0,Blue,in_stock,28,536,183.6,32.4,15.0,98409.6,22399.2
752,Clean Cooler Fan Lite Ultra,Culture agent own.,Lambert PLC,Makeup,986.0,INR,269,5239820000000.0,SlateGray,limited_stock,36,814,571.88,414.12,42.0,465510.32,153835.72
753,Fast Thermostat Speaker,Until hold price character together wind allow.,"Odonnell, Cook and Ellison",Home & Kitchen,98.0,INR,906,7532410000000.0,LightGray,pre_order,81,819,57.82,40.18,41.0,47354.58,52384.92
754,Mini Iron Heater Portable,Popular debate science cover pull.,Jordan LLC,Women's Clothing,271.0,INR,493,7905260000000.0,Bisque,backorder,5,100,252.03,18.97,7.0,25203.0,124250.79
755,Fast Mixer Vacuum Eco,Attack process whether audience effort.,"Murphy, Rush and Bird",Cleaning Supplies,974.0,INR,884,9390020000000.0,Pink,limited_stock,3,909,720.76,253.24,26.0,655170.84,637151.84
756,Pro Powerbank Projector Mini,Dream ahead artist fact her lead serious.,"Gamble, Rich and Merritt",Kitchen Appliances,414.0,INR,833,8513430000000.0,LightPink,in_stock,61,349,376.74,37.26,9.0,131482.26,313824.42
757,Advanced Thermostat Oven Smart Compact,Full health former that certainly final.,Pratt LLC,Grooming Tools,712.0,INR,550,577140000000.0,Magenta,discontinued,58,878,469.92,242.08,34.0,412589.76,258456.0
758,Smart Oven Trimmer Touch Clean 360,Them play quickly.,Bender LLC,Books & Stationery,360.0,INR,161,9805200000000.0,Beige,out_of_stock,29,379,270.0,90.0,25.0,102330.0,43470.0
759,Mini Lock Lite Clean,Off include state interview.,Mckay-Atkinson,Sports & Outdoors,467.0,INR,47,9702260000000.0,MediumTurquoise,in_stock,61,461,233.5,233.5,50.0,107643.5,10974.5
760,Speakerphone Charger,Kitchen sister ever fight low can.,"Cohen, Khan and Montoya",Makeup,839.0,INR,712,9142100000000.0,PaleVioletRed,backorder,54,214,553.74,285.26,34.0,118500.36,394262.88
761,Wireless Iron Toaster Projector,Full according marriage month election gas.,Macias-Rangel,Sports & Outdoors,569.0,INR,734,462959000000.0,Peru,pre_order,74,123,364.16,204.84,36.0,44791.68,267293.44
762,Ultra Freezer Digital,Girl especially though laugh wish ball.,Mcknight-Gibson,Shoes & Footwear,9.0,INR,98,2755540000000.0,Linen,backorder,41,203,6.03,2.97,33.0,1224.09,590.94
763,Fast Iron Monitor X,Century room career house.,Mccarthy Ltd,Cameras & Accessories,432.0,INR,803,7774630000000.0,MediumVioletRed,discontinued,45,896,224.64,207.36,48.0,201277.44,180385.92
764,Fast Grill Phone Air Lite Digital,Check action his let.,"Fitzgerald, Navarro and Benson",Makeup,618.0,INR,673,7638380000000.0,LavenderBlush,limited_stock,41,294,556.2,61.8,10.0,163522.8,374322.6
765,Powerbank,Heart help dog whom usually.,"Randall, Valentine and Sosa",Grooming Tools,481.0,INR,191,5938810000000.0,NavajoWhite,out_of_stock,69,830,278.98,202.02,42.0,231553.4,53285.18
766,Smart Grill X Go Automatic,According Congress themselves yes reflect.,Hobbs-Barnes,Headphones & Earbuds,527.0,INR,22,3646180000000.0,Pink,in_stock,97,739,479.57,47.43,9.0,354402.23,10550.54
767,Brush,Truth challenge month hospital investment work civil mean.,Floyd-Kidd,Cycling,281.0,INR,301,7976740000000.0,SaddleBrown,backorder,29,475,252.9,28.1,10.0,120127.5,76122.9
768,Compact Iron Monitor,For some have.,Cooley-Tapia,Fishing & Hunting,150.0,INR,957,2435130000000.0,MediumBlue,limited_stock,5,907,108.0,42.0,28.0,97956.0,103356.0
769,Advanced Keyboard Compact Smart,Purpose enter very activity similar case.,Leonard-Mcpherson,Camping & Hiking,550.0,INR,675,6292880000000.0,DarkSalmon,backorder,41,614,440.0,110.0,20.0,270160.0,297000.0
770,Mini Lock Edge,Decide show rather.,Crosby and Sons,Women's Clothing,855.0,INR,844,354067000000.0,Aqua,pre_order,62,270,812.25,42.75,5.0,219307.5,685539.0
771,Portable Treadmill Advanced Portable Fast,Person know south work general.,Camacho-Doyle,Office Supplies,836.0,INR,531,1330730000000.0,Linen,in_stock,97,388,426.36,409.64,49.0,165427.68,226397.16
772,Cooker Brush,Tonight force throughout program fall indicate letter.,Blake PLC,Headphones & Earbuds,364.0,INR,584,7843290000000.0,OrangeRed,limited_stock,8,585,232.96,131.04,36.0,136281.6,136048.64
773,Fan,Art each image determine design picture.,Dudley-Rice,Haircare,518.0,INR,738,5479810000000.0,SteelBlue,limited_stock,98,867,341.88,176.12,34.0,296409.96,252307.44
774,Clean Webcam Powerbank Automatic,Project exist its.,"Oneal, Costa and Wang",Shoes & Footwear,603.0,INR,335,2115840000000.0,Plum,backorder,74,384,560.79,42.21,7.0,215343.36,187864.65
775,Smart Charger Digital X Eco,Week project fear always because worry nation.,Ayers Ltd,Home Decor,758.0,INR,777,8499230000000.0,GoldenRod,out_of_stock,13,964,523.02,234.98,31.0,504191.28,406386.54
776,Advanced Thermostat Camera Watch Ultra,Wind tell smile body themselves someone.,Simpson Group,Cameras & Accessories,567.0,INR,672,7583160000000.0,LightGray,limited_stock,9,692,402.57,164.43,29.0,278578.44,270527.04
777,Premium Charger,Media politics fight general.,Hanson-Hale,Sports & Outdoors,951.0,INR,202,8822770000000.0,DarkOrange,in_stock,11,305,675.21,275.79,29.0,205939.05,136392.42
778,Automatic Fan,President trip best within church toward.,Blake-Cline,Smartphones,618.0,INR,728,1325800000000.0,PaleGreen,limited_stock,69,628,568.56,49.44,8.0,357055.68,413911.68
779,Clean Grill Tablet Fridge Wireless Compact,Oil produce represent whom red.,Hodges Ltd,Office Supplies,147.0,INR,626,2231350000000.0,Violet,in_stock,21,341,89.67,57.33,39.0,30577.47,56133.42
780,Brush Fridge Drone,Other build edge science decide fear alone window.,Burton-Rubio,Smartwatches,699.0,INR,335,6510920000000.0,PaleGoldenRod,limited_stock,14,388,552.21,146.79,21.0,214257.48,184990.35
781,Digital Shaver Lite,Role during family when case event.,Terrell Inc,Kitchen Appliances,89.0,INR,623,9647970000000.0,RosyBrown,backorder,44,682,73.87,15.13,17.0,50379.34,46021.01
782,Premium Speakerphone Automatic Prime Pro,Personal son black several and those data.,Sampson LLC,Grooming Tools,918.0,INR,196,3911970000000.0,DarkSlateBlue,discontinued,40,827,468.18,449.82,49.0,387184.86,91763.28
783,Rechargeable Stove Blender Oven Advanced,Success service senior response next.,"Pennington, Walsh and Mccoy",Men's Clothing,467.0,INR,644,6839870000000.0,LightSeaGreen,in_stock,42,683,312.89,154.11,33.0,213703.87,201501.16
784,Portable Freezer,Magazine order would else hotel bed language.,"Mullins, Nash and Huber",Women's Clothing,825.0,INR,462,2425760000000.0,MediumTurquoise,limited_stock,97,781,668.25,156.75,19.0,521903.25,308731.5
785,Rechargeable Toaster Light Monitor Compact,Form director me.,Burch-Maldonado,Headphones & Earbuds,893.0,INR,721,5674610000000.0,Yellow,backorder,44,391,491.15,401.85,45.0,192039.65,354119.15
786,Clean Freezer Edge Automatic Portable,Machine smile outside item red.,"Kelley, Crosby and Hubbard",Furniture,947.0,INR,130,5410830000000.0,LimeGreen,limited_stock,87,381,871.24,75.76,8.0,331942.44,113261.2
787,Clean Blender Compact Premium Prime,Family voice direction.,Hansen Ltd,Cycling,35.0,INR,624,2764760000000.0,IndianRed,limited_stock,78,623,31.5,3.5,10.0,19624.5,19656.0
788,Tablet Router Printer,Meeting budget leave picture.,"Shannon, Bridges and Arroyo",Furniture,533.0,INR,145,142595000000.0,DimGray,limited_stock,17,928,277.16,255.84,48.0,257204.48,40188.2
789,Eco Lamp Go Prime,Memory possible suggest product just leader read.,"Parrish, Duarte and Andrade",Team Sports,436.0,INR,265,5143960000000.0,Azure,pre_order,53,647,340.08,95.92,22.0,220031.76,90121.2
790,Shaver Blender,Out design indicate tax message decide.,Christensen-Hayden,"Accessories (Bags, Hats, Belts)",447.0,INR,462,4369380000000.0,Pink,backorder,97,458,420.18,26.82,6.0,192442.44,194123.16
791,Smart Fan Lite Edge,End could effort might against.,Ali-Brandt,Furniture,823.0,INR,910,3738120000000.0,SandyBrown,out_of_stock,9,196,707.78,115.22,14.0,138724.88,644079.8
792,Clean Radio Iron Digital Air,State country remember.,Cline-Singleton,Furniture,176.0,INR,487,469047000000.0,LightGray,out_of_stock,57,79,128.48,47.52,27.0,10149.92,62569.76
793,Eco Tablet Cooler Fridge Fast One Fast,Summer wind girl watch include word side thousand.,Dorsey LLC,Women's Clothing,683.0,INR,558,719803000000.0,LightSeaGreen,discontinued,83,641,491.76,191.24,28.0,315218.16,274402.08
794,Compact Toaster Oven Ultra Fast,Reveal dog skill see its who.,"Stark, Rice and Roth",Sports & Outdoors,742.0,INR,519,7867690000000.0,PaleGreen,backorder,93,514,690.06,51.94,7.0,354690.84,358141.14
795,Premium Bicycle Microphone Silent Smart Fast,Service so wonder party piece.,Moreno PLC,Camping & Hiking,891.0,INR,758,2986950000000.0,White,discontinued,84,750,490.05,400.95,45.0,367537.5,371457.9
796,Silent Speaker Tablet Headphones Silent Go Max,Under wait compare door.,Doyle Ltd,Home Decor,64.0,INR,286,3229670000000.0,MidnightBlue,discontinued,34,221,55.04,8.96,14.0,12163.84,15741.44
797,Eco Scanner Mouse Eco X,Foot dinner major each design child hotel.,Mills-Robles,Makeup,223.0,INR,352,3867530000000.0,DeepSkyBlue,limited_stock,51,476,196.24,26.76,12.0,93410.24,69076.48
798,Toaster Oven,Nature yourself way film difficult eye he.,Garner-Dickson,Cameras & Accessories,748.0,INR,14,1106800000000.0,SeaGreen,limited_stock,45,389,710.6,37.4,5.0,276423.4,9948.4
799,Advanced Brush Mini Pro Rechargeable,Professor street road different upon language create.,"Gill, Barrett and Kidd",Automotive,458.0,INR,114,6238940000000.0,Magenta,pre_order,90,504,261.06,196.94,43.0,131574.24,29760.84
800,Compact Webcam Dock Heater Go,Story song memory space under next several.,Michael-Patrick,Toys & Games,428.0,INR,677,7586820000000.0,Tan,backorder,27,374,372.36,55.64,13.0,139262.64,252087.72
801,Clean Cooker Mouse Bicycle Lite,Adult run Congress result out out wait.,Henson and Sons,Headphones & Earbuds,105.0,INR,579,3646040000000.0,BlanchedAlmond,pre_order,76,796,61.95,43.05,41.0,49312.2,35869.05
802,Smart Lock Lamp,Group natural admit.,Villegas-Benson,Skincare,460.0,INR,745,2583100000000.0,AntiqueWhite,in_stock,60,582,418.6,41.4,9.0,243625.2,311857.0
803,Rechargeable Oven One,Set may anyone organization should.,Salazar Group,Smartwatches,764.0,INR,635,5280570000000.0,Cyan,discontinued,5,209,435.48,328.52,43.0,91015.32,276529.8
804,Eco Freezer,Space politics what go class treatment.,Bryan-Ewing,Beauty & Personal Care,946.0,INR,894,3333660000000.0,Linen,backorder,2,225,520.3,425.7,45.0,117067.5,465148.2
805,Smart Router Lamp Pro Ultra Silent,Determine carry group I forward different.,"Ware, Vazquez and Fuentes",Toys & Games,886.0,INR,758,9411620000000.0,LightBlue,in_stock,90,947,602.48,283.52,32.0,570548.56,456679.84
806,Automatic Printer Compact Portable Smart,Run while doctor cost hit.,Stokes-Oliver,Home Decor,415.0,INR,134,3540040000000.0,RoyalBlue,out_of_stock,4,272,332.0,83.0,20.0,90304.0,44488.0
807,Eco Iron Monitor Eco Clean,Fall draw exist skill professor.,Rivas Ltd,Skincare,152.0,INR,797,4878940000000.0,Brown,backorder,17,551,142.88,9.12,6.0,78726.88,113875.36
808,Mouse,Measure room during news case pattern debate.,Duffy PLC,Kitchen Appliances,427.0,INR,895,3135660000000.0,Orange,out_of_stock,71,335,213.5,213.5,50.0,71522.5,191082.5
809,Mini Freezer Premium,Challenge it picture even source audience front.,Mayer PLC,Men's Clothing,577.0,INR,941,6312010000000.0,GoldenRod,out_of_stock,39,627,438.52,138.48,24.0,274952.04,412647.32
810,Silent Camera Digital,Purpose and new our central sit.,"Ballard, Hawkins and Miller",Haircare,799.0,INR,987,8463130000000.0,Ivory,backorder,87,440,479.4,319.6,40.0,210936.0,473167.8
811,Mini Kettle One,Character major share through cold weight study true.,Sutton-Coffey,Skincare,53.0,INR,725,7208130000000.0,Lavender,limited_stock,15,70,36.57,16.43,31.0,2559.9,26513.25
812,Smart Heater Mixer Shaver Compact Mini,Raise people wait rise current question bank.,Hale PLC,Toys & Games,625.0,INR,119,3049230000000.0,SpringGreen,pre_order,88,651,412.5,212.5,34.0,268537.5,49087.5
813,Rechargeable Heater Mixer Shaver Advanced Mini,Enough increase without.,Lawson Ltd,Toys & Games,475.0,INR,97,7680320000000.0,Teal,discontinued,13,801,280.25,194.75,41.0,224480.25,27184.25
814,Eco Speakerphone Stove Tablet Go Prime Advanced,Take film help money thought people.,"Ross, Christian and Wilkins",Laptops & Computers,637.0,INR,717,4684410000000.0,DarkMagenta,out_of_stock,33,479,535.08,101.92,16.0,256303.32,383652.36
815,Compact Watch Camera Silent Pro,Baby loss talk sound thousand attack.,Merritt LLC,Toys & Games,371.0,INR,299,505997000000.0,NavajoWhite,pre_order,32,143,267.12,103.88,28.0,38198.16,79868.88
816,Clean Mixer Drone Toaster Pro Eco,Add for occur between.,Estrada-Hodge,Men's Clothing,736.0,INR,837,6458690000000.0,SpringGreen,discontinued,60,894,640.32,95.68,13.0,572446.08,535947.84
817,Smart Headphones,Left as soldier note manage mind.,Day-Rangel,Smartwatches,106.0,INR,141,5769790000000.0,Ivory,limited_stock,49,375,54.06,51.94,49.0,20272.5,7622.46
818,Pro Microphone Cooler Clean Rechargeable,Catch per decision without open east.,Kelly-Montgomery,Home Decor,728.0,INR,334,7406940000000.0,YellowGreen,pre_order,54,602,662.48,65.52,9.0,398812.96,221268.32
819,Rechargeable Mixer Lamp Sense,Standard left difference item new.,Mccoy Inc,Furniture,761.0,INR,368,6396190000000.0,AliceBlue,pre_order,84,492,517.48,243.52,32.0,254600.16,190432.64
820,Pro Watch Camera Rechargeable,Him wind how direction media mind.,"Riggs, James and Faulkner",Cameras & Accessories,767.0,INR,828,2027280000000.0,PapayaWhip,limited_stock,34,285,644.28,122.72,16.0,183619.8,533463.84
821,Portable Webcam Bicycle Camera,Already nearly may catch peace.,Sanders LLC,Kitchen Appliances,406.0,INR,590,1482500000000.0,SkyBlue,out_of_stock,74,738,385.7,20.3,5.0,284646.6,227563.0
822,Portable Scooter Bicycle Oven,Nor sometimes director ready factor west.,Mercado LLC,Team Sports,155.0,INR,905,6263640000000.0,Lavender,pre_order,46,779,96.1,58.9,38.0,74861.9,86970.5
823,Compact Treadmill Edge Sense,Analysis couple size baby unit prepare half especially.,Ramirez-Gonzalez,Kids' Clothing,392.0,INR,893,7644900000000.0,YellowGreen,limited_stock,35,565,290.08,101.92,26.0,163895.2,259041.44
824,Fast Charger Radio Rechargeable Compact,Career now increase.,"Guerra, Shea and Kirby",Headphones & Earbuds,925.0,INR,557,954697000000.0,PapayaWhip,backorder,12,689,869.5,55.5,6.0,599085.5,484311.5
825,Scanner Tablet Radio,A south yeah cultural sense authority.,Pitts-Fischer,Toys & Games,367.0,INR,394,6623610000000.0,SlateBlue,out_of_stock,2,324,249.56,117.44,32.0,80857.44,98326.64
826,Advanced Speaker Tablet Headphones Smart,Since indeed gun store deal voice.,Meyers Inc,Men's Clothing,403.0,INR,54,1790130000000.0,Magenta,in_stock,97,959,245.83,157.17,39.0,235750.97,13274.82
827,Pro Camera Drone Fan Eco Automatic,How play interview forget join research or after.,Hensley LLC,Makeup,608.0,INR,718,9010840000000.0,GhostWhite,in_stock,92,180,480.32,127.68,21.0,86457.6,344869.76
828,Iron Microphone,Interest doctor free its care side check.,Lawson-Stout,"Accessories (Bags, Hats, Belts)",414.0,INR,690,8299600000000.0,OldLace,in_stock,63,975,327.06,86.94,21.0,318883.5,225671.4
829,Smart Fridge Portable,Reveal cover treat season.,Mathis Ltd,Clothing & Apparel,439.0,INR,608,504888000000.0,Magenta,limited_stock,31,449,272.18,166.82,38.0,122208.82,165485.44
830,Ultra Trimmer Cooler Pro,Sister effort feeling choose challenge answer once.,Carr Group,Beauty & Personal Care,68.0,INR,170,5112540000000.0,Peru,limited_stock,56,493,56.44,11.56,17.0,27824.92,9594.8
831,Eco Scanner Monitor Treadmill Sense,Cup probably view stay national throughout leg exactly.,Morales LLC,Clothing & Apparel,236.0,INR,759,4843160000000.0,DarkKhaki,pre_order,49,514,134.52,101.48,43.0,69143.28,102100.68
832,Wireless Freezer Mini Ultra,Theory key this language billion.,Ayers-Andersen,Cameras & Accessories,624.0,INR,856,2265160000000.0,Cyan,out_of_stock,54,822,511.68,112.32,18.0,420600.96,437998.08
833,Wireless Scale Headphones Wireless Touch,Million friend compare price operation.,"Chandler, Sharp and Mullen",Cycling,804.0,INR,889,3291620000000.0,Gray,in_stock,22,154,731.64,72.36,9.0,112672.56,650427.96
834,Smart Router Smart Silent Touch,History us often gun environmental anything paper technology.,"Tate, Rangel and Hooper",Camping & Hiking,400.0,INR,611,620866000000.0,DarkCyan,discontinued,64,641,296.0,104.0,26.0,189736.0,180856.0
835,Pro Charger One X Go,City then read half.,Burch-Nguyen,Haircare,799.0,INR,883,8994320000000.0,Purple,discontinued,1,551,623.22,175.78,22.0,343394.22,550303.26
836,Digital Scale Clock Sense,What network PM but.,Griffin Inc,Sports & Outdoors,167.0,INR,280,1500770000000.0,DarkSalmon,limited_stock,18,832,120.24,46.76,28.0,100039.68,33667.2
837,Advanced Scale Prime Clean,Woman total new draw money.,"Reed, Kelley and Braun",Team Sports,538.0,INR,365,1042470000000.0,LightYellow,out_of_stock,59,869,312.04,225.96,42.0,271162.76,113894.6
838,Digital Bicycle Lock Fan Digital Pro Air,Else wish main nature per opportunity responsibility.,"Boone, Mccarthy and Riggs","Accessories (Bags, Hats, Belts)",845.0,INR,468,2959270000000.0,MediumVioletRed,in_stock,13,356,422.5,422.5,50.0,150410.0,197730.0
839,Advanced Mouse Fast,Way marriage cell agree more available person.,Baird PLC,Fragrances,959.0,INR,418,8890490000000.0,DarkKhaki,discontinued,6,346,671.3,287.7,30.0,232269.8,280603.4
840,Smart Fan Speaker Fridge Go Prime,Artist his professor drop daughter plan.,Newton Ltd,Camping & Hiking,930.0,INR,66,3408950000000.0,Red,backorder,80,214,874.2,55.8,6.0,187078.8,57697.2
841,Advanced Treadmill Dock Digital Go,Spring collection eat phone other true through.,Larsen Group,Beauty & Personal Care,74.0,INR,769,1029620000000.0,Blue,in_stock,13,301,68.82,5.18,7.0,20714.82,52922.58
842,Wireless Lock Max Plus,Remain speech a common relate machine scientist.,Woodard-Davila,Automotive,777.0,INR,43,2316390000000.0,OliveDrab,pre_order,74,832,629.37,147.63,19.0,523635.84,27062.91
843,Digital Camera Heater Webcam Plus Touch,Pretty officer kid black.,Harris-Meyers,Kitchen Appliances,927.0,INR,885,5521850000000.0,DarkSlateBlue,limited_stock,13,975,574.74,352.26,38.0,560371.5,508644.9
844,Wireless Toaster Pro Silent Rechargeable,Discussion ten almost respond key.,Downs-Rangel,Fishing & Hunting,919.0,INR,319,3183590000000.0,DarkGreen,in_stock,64,688,615.73,303.27,33.0,423622.24,196417.87
845,Vacuum Printer,Camera herself left month moment war good.,Barker Inc,Health & Wellness,855.0,INR,454,5886040000000.0,Black,discontinued,40,762,812.25,42.75,5.0,618934.5,368761.5
846,Webcam Trimmer Projector,Upon nearly production pay even book ever.,Levine-James,Camping & Hiking,976.0,INR,528,1053710000000.0,AliceBlue,limited_stock,74,415,663.68,312.32,32.0,275427.2,350423.04
847,Charger,Attorney to available scene west base.,"Willis, Horn and Travis",Makeup,517.0,INR,789,1975500000000.0,DeepPink,discontinued,52,151,382.58,134.42,26.0,57769.58,301855.62
848,Smart Shaver Mouse,Who kind ok exactly least half another.,"Spears, Luna and Decker",Makeup,393.0,INR,488,1704080000000.0,Lavender,discontinued,7,993,314.4,78.6,20.0,312199.2,153427.2
849,Portable Brush Wireless X Automatic,Win education building people Democrat case opportunity image.,"Haas, Hanson and Miller",Clothing & Apparel,931.0,INR,181,9899920000000.0,DarkKhaki,pre_order,20,361,512.05,418.95,45.0,184850.05,92681.05
850,Mini Powerbank Scooter,Policy require do use.,Cordova Inc,Sports & Outdoors,769.0,INR,819,9850770000000.0,Tomato,in_stock,30,847,676.72,92.28,12.0,573181.84,554233.68
851,Eco Toaster Oven Pro,Situation speech hospital compare.,Lewis Group,Home Decor,376.0,INR,237,901855000000.0,SlateGray,discontinued,35,408,195.52,180.48,48.0,79772.16,46338.24
852,Premium Vacuum Iron Phone Lite Plus,Wall according store key answer them modern.,Branch-Rush,Fragrances,240.0,INR,552,9356960000000.0,MintCream,out_of_stock,18,488,156.0,84.0,35.0,76128.0,86112.0
853,Smart Headphones Monitor Fast One Automatic,Whose write play hard.,Mclean LLC,Fitness Equipment,762.0,INR,46,4257510000000.0,Red,limited_stock,40,222,525.78,236.22,31.0,116723.16,24185.88
854,Mini Tablet,Feeling prepare treat compare long they.,Jones-Shannon,Makeup,677.0,INR,954,6867500000000.0,LightBlue,limited_stock,94,372,507.75,169.25,25.0,188883.0,484393.5
855,Digital Vacuum Cooler Prime,Out scientist federal month small attention model.,Bender PLC,Home & Kitchen,247.0,INR,70,4185570000000.0,RoyalBlue,backorder,77,912,145.73,101.27,41.0,132905.76,10201.1
856,Portable Radio,Concern practice large reveal mission forward.,Flores-Craig,Automotive,408.0,INR,373,3888340000000.0,GoldenRod,out_of_stock,52,260,322.32,85.68,21.0,83803.2,120225.36
857,Digital Dock,Party future skin believe.,Cox-Sanchez,Grooming Tools,135.0,INR,562,3418060000000.0,Silver,in_stock,12,462,112.05,22.95,17.0,51767.1,62972.1
858,Automatic Webcam Powerbank,Wall result expert area artist stock.,Lam-Contreras,Automotive,840.0,INR,464,4177610000000.0,SlateGray,backorder,57,710,537.6,302.4,36.0,381696.0,249446.4
859,Mouse,Important four across.,Mckinney-Wilcox,Skincare,483.0,INR,853,7352750000000.0,DarkTurquoise,in_stock,49,168,304.29,178.71,37.0,51120.72,259559.37
860,Advanced Oven Trimmer Dock Prime,Major mean all himself society.,Collins Ltd,Shoes & Footwear,421.0,INR,657,7639840000000.0,DarkKhaki,out_of_stock,48,682,311.54,109.46,26.0,212470.28,204681.78
861,Radio Light Fan,Executive item attorney but us walk.,Lyons Ltd,Laptops & Computers,10.0,INR,805,3907120000000.0,Tomato,discontinued,50,538,5.2,4.8,48.0,2797.6,4186.0
862,Digital Vacuum Fan Rechargeable,Ago ago reach natural practice add.,Morris-Swanson,Haircare,576.0,INR,558,5175420000000.0,Fuchsia,backorder,83,239,403.2,172.8,30.0,96364.8,224985.6
863,Advanced Trimmer Heater,Black decide relationship seek stage.,Brennan Inc,Headphones & Earbuds,140.0,INR,851,9090230000000.0,PaleGoldenRod,backorder,41,539,100.8,39.2,28.0,54331.2,85780.8
864,Smart Clock Lock,Technology together lead economic wind.,"Boyd, Daugherty and Hanson",Beauty & Personal Care,172.0,INR,51,123729000000.0,SeaShell,pre_order,48,737,161.68,10.32,6.0,119158.16,8245.68
865,Mini Thermostat,Somebody listen every Republican name whatever.,Burnett and Sons,Clothing & Apparel,535.0,INR,584,8058070000000.0,Magenta,out_of_stock,73,360,417.3,117.7,22.0,150228.0,243703.2
866,Grill Brush Watch,School enter heart serve organization reveal safe.,"Kent, Kaiser and Velasquez","Accessories (Bags, Hats, Belts)",756.0,INR,525,4640290000000.0,GoldenRod,out_of_stock,3,510,491.4,264.6,35.0,250614.0,257985.0
867,Automatic Brush Wireless 360,Participant realize red not close.,Bridges PLC,Toys & Games,736.0,INR,571,3833000000000.0,RosyBrown,out_of_stock,34,677,544.64,191.36,26.0,368721.28,310989.44
868,Smart Dock Plus Compact,Throughout century dinner collection cover figure let.,Peterson LLC,Skincare,205.0,INR,127,1599700000000.0,PaleGoldenRod,pre_order,65,242,110.7,94.3,46.0,26789.4,14058.9
869,Digital Scooter Dock Shaver Rechargeable,Too industry participant read specific magazine boy.,Arellano-Sexton,Smartwatches,286.0,INR,434,7795490000000.0,Lime,pre_order,91,756,268.84,17.16,6.0,203243.04,116676.56
870,Fast Treadmill Portable Sense One,Record ahead although those go American hard.,Stewart and Sons,Cleaning Supplies,700.0,INR,456,5295060000000.0,Salmon,in_stock,16,970,476.0,224.0,32.0,461720.0,217056.0
871,Smart Heater Mini,Sense investment hear position turn course drive various.,Huff-Mora,Home Decor,786.0,INR,278,2359940000000.0,DarkGreen,limited_stock,52,431,503.04,282.96,36.0,216810.24,139845.12
